alert_id,alert_text,disaster_type,affected_region,source,date
IMD_2017_001,"Cyclonic Storm detected over Bay of Bengal during 2017, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Cyclonic Storm,Bay of Bengal,IMD RSMC,2017-06-01
IMD_2017_002,"Cyclonic Storm detected over Bay of Bengal during 2017, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Cyclonic Storm,Bay of Bengal,IMD RSMC,2017-06-01
IMD_2017_003,"Severe Cyclonic Storm detected over Bay of Bengal during 2017, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Severe Cyclonic Storm,Bay of Bengal,IMD RSMC,2017-06-01
IMD_2017_004,"Severe Cyclonic Storm detected over Bay of Bengal during 2017, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Severe Cyclonic Storm,Bay of Bengal,IMD RSMC,2017-06-01
IMD_2017_005,"Very Severe Cyclonic Storm detected over Arabian Sea during 2017, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Very Severe Cyclonic Storm,Arabian Sea,IMD RSMC,2017-06-01
IMD_2017_006,"Very Severe Cyclonic Storm detected over Arabian Sea during 2017, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Very Severe Cyclonic Storm,Arabian Sea,IMD RSMC,2017-06-01
IMD_2017_007,"Extremely Severe Cyclonic Storm detected over Arabian Sea during 2017, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Extremely Severe Cyclonic Storm,Arabian Sea,IMD RSMC,2017-06-01
IMD_2017_008,"Extremely Severe Cyclonic Storm detected over Arabian Sea during 2017, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Extremely Severe Cyclonic Storm,Arabian Sea,IMD RSMC,2017-06-01
IMD_2017_009,"Super Cyclonic Storm detected over Bay of Bengal during 2017, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Super Cyclonic Storm,Bay of Bengal,IMD RSMC,2017-06-01
IMD_2017_010,"Super Cyclonic Storm detected over Bay of Bengal during 2017, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Super Cyclonic Storm,Bay of Bengal,IMD RSMC,2017-06-01
IMD_2017_011,"Depression detected over Bay of Bengal during 2017, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Depression,Bay of Bengal,IMD RSMC,2017-06-01
IMD_2017_012,"Depression detected over Bay of Bengal during 2017, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Depression,Bay of Bengal,IMD RSMC,2017-06-01
IMD_2017_013,"Deep Depression detected over Arabian Sea during 2017, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Deep Depression,Arabian Sea,IMD RSMC,2017-06-01
IMD_2017_014,"Deep Depression detected over Arabian Sea during 2017, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Deep Depression,Arabian Sea,IMD RSMC,2017-06-01
IMD_2017_015,"Land Depression detected over Central India during 2017, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Land Depression,Central India,IMD RSMC,2017-06-01
IMD_2017_016,"Land Depression detected over Central India during 2017, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Land Depression,Central India,IMD RSMC,2017-06-01
IMD_2018_017,"Cyclonic Storm detected over Bay of Bengal during 2018, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Cyclonic Storm,Bay of Bengal,IMD RSMC,2018-06-01
IMD_2018_018,"Cyclonic Storm detected over Bay of Bengal during 2018, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Cyclonic Storm,Bay of Bengal,IMD RSMC,2018-06-01
IMD_2018_019,"Severe Cyclonic Storm detected over Bay of Bengal during 2018, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Severe Cyclonic Storm,Bay of Bengal,IMD RSMC,2018-06-01
IMD_2018_020,"Severe Cyclonic Storm detected over Bay of Bengal during 2018, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Severe Cyclonic Storm,Bay of Bengal,IMD RSMC,2018-06-01
IMD_2018_021,"Very Severe Cyclonic Storm detected over Arabian Sea during 2018, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Very Severe Cyclonic Storm,Arabian Sea,IMD RSMC,2018-06-01
IMD_2018_022,"Very Severe Cyclonic Storm detected over Arabian Sea during 2018, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Very Severe Cyclonic Storm,Arabian Sea,IMD RSMC,2018-06-01
IMD_2018_023,"Extremely Severe Cyclonic Storm detected over Arabian Sea during 2018, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Extremely Severe Cyclonic Storm,Arabian Sea,IMD RSMC,2018-06-01
IMD_2018_024,"Extremely Severe Cyclonic Storm detected over Arabian Sea during 2018, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Extremely Severe Cyclonic Storm,Arabian Sea,IMD RSMC,2018-06-01
IMD_2018_025,"Super Cyclonic Storm detected over Bay of Bengal during 2018, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Super Cyclonic Storm,Bay of Bengal,IMD RSMC,2018-06-01
IMD_2018_026,"Super Cyclonic Storm detected over Bay of Bengal during 2018, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Super Cyclonic Storm,Bay of Bengal,IMD RSMC,2018-06-01
IMD_2018_027,"Depression detected over Bay of Bengal during 2018, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Depression,Bay of Bengal,IMD RSMC,2018-06-01
IMD_2018_028,"Depression detected over Bay of Bengal during 2018, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Depression,Bay of Bengal,IMD RSMC,2018-06-01
IMD_2018_029,"Deep Depression detected over Arabian Sea during 2018, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Deep Depression,Arabian Sea,IMD RSMC,2018-06-01
IMD_2018_030,"Deep Depression detected over Arabian Sea during 2018, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Deep Depression,Arabian Sea,IMD RSMC,2018-06-01
IMD_2018_031,"Land Depression detected over Central India during 2018, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Land Depression,Central India,IMD RSMC,2018-06-01
IMD_2018_032,"Land Depression detected over Central India during 2018, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Land Depression,Central India,IMD RSMC,2018-06-01
IMD_2019_033,"Cyclonic Storm detected over Bay of Bengal during 2019, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Cyclonic Storm,Bay of Bengal,IMD RSMC,2019-06-01
IMD_2019_034,"Cyclonic Storm detected over Bay of Bengal during 2019, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Cyclonic Storm,Bay of Bengal,IMD RSMC,2019-06-01
IMD_2019_035,"Severe Cyclonic Storm detected over Bay of Bengal during 2019, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Severe Cyclonic Storm,Bay of Bengal,IMD RSMC,2019-06-01
IMD_2019_036,"Severe Cyclonic Storm detected over Bay of Bengal during 2019, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Severe Cyclonic Storm,Bay of Bengal,IMD RSMC,2019-06-01
IMD_2019_037,"Very Severe Cyclonic Storm detected over Arabian Sea during 2019, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Very Severe Cyclonic Storm,Arabian Sea,IMD RSMC,2019-06-01
IMD_2019_038,"Very Severe Cyclonic Storm detected over Arabian Sea during 2019, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Very Severe Cyclonic Storm,Arabian Sea,IMD RSMC,2019-06-01
IMD_2019_039,"Extremely Severe Cyclonic Storm detected over Arabian Sea during 2019, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Extremely Severe Cyclonic Storm,Arabian Sea,IMD RSMC,2019-06-01
IMD_2019_040,"Extremely Severe Cyclonic Storm detected over Arabian Sea during 2019, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Extremely Severe Cyclonic Storm,Arabian Sea,IMD RSMC,2019-06-01
IMD_2019_041,"Super Cyclonic Storm detected over Bay of Bengal during 2019, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Super Cyclonic Storm,Bay of Bengal,IMD RSMC,2019-06-01
IMD_2019_042,"Super Cyclonic Storm detected over Bay of Bengal during 2019, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Super Cyclonic Storm,Bay of Bengal,IMD RSMC,2019-06-01
IMD_2019_043,"Depression detected over Bay of Bengal during 2019, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Depression,Bay of Bengal,IMD RSMC,2019-06-01
IMD_2019_044,"Depression detected over Bay of Bengal during 2019, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Depression,Bay of Bengal,IMD RSMC,2019-06-01
IMD_2019_045,"Deep Depression detected over Arabian Sea during 2019, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Deep Depression,Arabian Sea,IMD RSMC,2019-06-01
IMD_2019_046,"Deep Depression detected over Arabian Sea during 2019, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Deep Depression,Arabian Sea,IMD RSMC,2019-06-01
IMD_2019_047,"Land Depression detected over Central India during 2019, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Land Depression,Central India,IMD RSMC,2019-06-01
IMD_2019_048,"Land Depression detected over Central India during 2019, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Land Depression,Central India,IMD RSMC,2019-06-01
IMD_2020_049,"Cyclonic Storm detected over Bay of Bengal during 2020, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Cyclonic Storm,Bay of Bengal,IMD RSMC,2020-06-01
IMD_2020_050,"Cyclonic Storm detected over Bay of Bengal during 2020, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Cyclonic Storm,Bay of Bengal,IMD RSMC,2020-06-01
IMD_2020_051,"Severe Cyclonic Storm detected over Bay of Bengal during 2020, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Severe Cyclonic Storm,Bay of Bengal,IMD RSMC,2020-06-01
IMD_2020_052,"Severe Cyclonic Storm detected over Bay of Bengal during 2020, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Severe Cyclonic Storm,Bay of Bengal,IMD RSMC,2020-06-01
IMD_2020_053,"Very Severe Cyclonic Storm detected over Arabian Sea during 2020, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Very Severe Cyclonic Storm,Arabian Sea,IMD RSMC,2020-06-01
IMD_2020_054,"Very Severe Cyclonic Storm detected over Arabian Sea during 2020, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Very Severe Cyclonic Storm,Arabian Sea,IMD RSMC,2020-06-01
IMD_2020_055,"Extremely Severe Cyclonic Storm detected over Arabian Sea during 2020, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Extremely Severe Cyclonic Storm,Arabian Sea,IMD RSMC,2020-06-01
IMD_2020_056,"Extremely Severe Cyclonic Storm detected over Arabian Sea during 2020, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Extremely Severe Cyclonic Storm,Arabian Sea,IMD RSMC,2020-06-01
IMD_2020_057,"Super Cyclonic Storm detected over Bay of Bengal during 2020, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Super Cyclonic Storm,Bay of Bengal,IMD RSMC,2020-06-01
IMD_2020_058,"Super Cyclonic Storm detected over Bay of Bengal during 2020, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Super Cyclonic Storm,Bay of Bengal,IMD RSMC,2020-06-01
IMD_2020_059,"Depression detected over Bay of Bengal during 2020, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Depression,Bay of Bengal,IMD RSMC,2020-06-01
IMD_2020_060,"Depression detected over Bay of Bengal during 2020, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Depression,Bay of Bengal,IMD RSMC,2020-06-01
IMD_2020_061,"Deep Depression detected over Arabian Sea during 2020, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Deep Depression,Arabian Sea,IMD RSMC,2020-06-01
IMD_2020_062,"Deep Depression detected over Arabian Sea during 2020, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Deep Depression,Arabian Sea,IMD RSMC,2020-06-01
IMD_2020_063,"Land Depression detected over Central India during 2020, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Land Depression,Central India,IMD RSMC,2020-06-01
IMD_2020_064,"Land Depression detected over Central India during 2020, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Land Depression,Central India,IMD RSMC,2020-06-01
IMD_2021_065,"Cyclonic Storm detected over Bay of Bengal during 2021, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Cyclonic Storm,Bay of Bengal,IMD RSMC,2021-06-01
IMD_2021_066,"Cyclonic Storm detected over Bay of Bengal during 2021, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Cyclonic Storm,Bay of Bengal,IMD RSMC,2021-06-01
IMD_2021_067,"Severe Cyclonic Storm detected over Bay of Bengal during 2021, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Severe Cyclonic Storm,Bay of Bengal,IMD RSMC,2021-06-01
IMD_2021_068,"Severe Cyclonic Storm detected over Bay of Bengal during 2021, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Severe Cyclonic Storm,Bay of Bengal,IMD RSMC,2021-06-01
IMD_2021_069,"Very Severe Cyclonic Storm detected over Arabian Sea during 2021, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Very Severe Cyclonic Storm,Arabian Sea,IMD RSMC,2021-06-01
IMD_2021_070,"Very Severe Cyclonic Storm detected over Arabian Sea during 2021, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Very Severe Cyclonic Storm,Arabian Sea,IMD RSMC,2021-06-01
IMD_2021_071,"Extremely Severe Cyclonic Storm detected over Arabian Sea during 2021, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Extremely Severe Cyclonic Storm,Arabian Sea,IMD RSMC,2021-06-01
IMD_2021_072,"Extremely Severe Cyclonic Storm detected over Arabian Sea during 2021, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Extremely Severe Cyclonic Storm,Arabian Sea,IMD RSMC,2021-06-01
IMD_2021_073,"Super Cyclonic Storm detected over Bay of Bengal during 2021, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Super Cyclonic Storm,Bay of Bengal,IMD RSMC,2021-06-01
IMD_2021_074,"Super Cyclonic Storm detected over Bay of Bengal during 2021, likely to cause heavy rainfall, strong winds and rough sea conditions. Fishermen advised caution.",Super Cyclonic Storm,Bay of Bengal,IMD RSMC,2021-06-01
